,Unnamed: 0.2,Unnamed: 0.1,Epoch,accuracy,programme,libelle,id
118,118.0,118.0,39,0.3352614343166351,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
119,119.0,119.0,40,0.3389400541782379,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
120,120.0,120.0,1,0.196666419506073,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
121,121.0,121.0,2,0.2469746619462967,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
122,122.0,122.0,3,0.2685389518737793,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
123,123.0,123.0,4,0.2823147475719452,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
124,124.0,124.0,5,0.2934520542621612,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
125,125.0,125.0,6,0.3042595982551574,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
126,126.0,126.0,7,0.3206738233566284,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
127,127.0,127.0,8,0.325012058019638,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
128,128.0,128.0,9,0.3325468599796295,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
129,129.0,129.0,10,0.3471852242946625,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
130,130.0,130.0,11,0.3581449687480926,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
131,131.0,131.0,12,0.3692315518856048,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
132,132.0,132.0,13,0.3754978775978088,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
133,133.0,133.0,14,0.3875485062599182,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
134,134.0,134.0,15,0.395971268415451,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
135,135.0,135.0,16,0.4053327143192291,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
136,136.0,136.0,17,0.4117512702941894,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
137,137.0,137.0,18,0.4236243367195129,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
138,138.0,138.0,19,0.4347362816333771,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
139,139.0,139.0,20,0.4421442449092865,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
140,140.0,140.0,21,0.450998306274414,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
141,141.0,141.0,22,0.4578734934329986,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
142,142.0,142.0,23,0.4654844403266907,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
143,143.0,143.0,24,0.4756069779396057,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
144,144.0,144.0,25,0.4835223257541656,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
145,145.0,145.0,26,0.4900423586368561,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
146,146.0,146.0,27,0.4989471435546875,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
147,147.0,147.0,28,0.5043255686759949,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
148,148.0,148.0,29,0.5164269208908081,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
149,149.0,149.0,30,0.515589714050293,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
150,150.0,150.0,31,0.5258137583732605,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
151,151.0,151.0,32,0.5332724452018738,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
152,152.0,152.0,33,0.5479361414909363,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
153,153.0,153.0,34,0.5516401529312134,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
154,154.0,154.0,35,0.5548874735832214,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
155,155.0,155.0,36,0.5662024021148682,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
156,156.0,156.0,37,0.5702362060546875,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
157,157.0,157.0,38,0.5788111686706543,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
158,158.0,158.0,39,0.5825151801109314,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
